a,c,n,t,Y
4.478464571530607827e+02,1.437357068796556234e+02,4.297114130645474006e+01,4.832171070410699087e+01,8.376876199999999884e+00
5.575744271284549995e+02,2.652919262959467233e+02,3.436169851045112011e+01,3.900079921563748542e+01,6.711218500000000198e+00
3.712283130993559439e+02,4.164962632180412356e+02,1.140146096405749176e+01,1.562402407356979062e+01,6.002629100000000051e+00
4.294253292960808466e+01,4.925253106765929942e+02,2.491416111499230013e+01,3.431254962732675295e+01,1.013205800000000067e+01
1.542856114708927464e+02,2.056882241308529728e+02,1.037651080323877650e+01,1.855835535254351853e+01,7.885730500000000198e+00
5.443400242848324524e+02,1.326771421411408483e+02,2.277565465521458421e+01,4.597084691402878320e+01,8.295208000000000581e+00
2.796176420566073162e+01,4.664259435493566031e+01,3.519315996431291893e+01,4.381685872069739673e+01,2.009446000000000154e+01
1.490695728703087752e+01,4.303229844275868459e+02,4.251364684010493988e+01,4.710154862441068957e+00,1.882611800000000102e+01
3.795843533780872576e+02,2.967146186470207567e+02,2.919533565985532420e+01,4.782313310162224695e+01,7.231455900000000270e+00
1.000677489962010647e+01,1.490490086584488836e+02,3.848930711646333691e+01,1.690452043954894279e+01,3.232760600000000295e+01
1.659489486440847372e+02,4.015357897876061770e+02,4.674206992583795284e+01,1.297930940770152475e+01,7.356417000000000428e+00
2.679023151268179390e+02,1.524348804285081371e+02,2.517333165932264549e+01,3.062240260295384076e+01,8.769258999999999915e+00
4.448492417001541526e+02,4.823755069525536499e+01,3.744340316749253361e+01,2.786474477239543646e+01,1.808884199999999964e+01
8.768614770289883609e+01,6.559806241236907454e+01,1.982236421298622631e+01,8.437546466639156861e+00,1.839045099999999877e+01
5.313348919529926206e+02,3.928991237854135079e+02,1.950635687518733263e+01,2.887537737527146220e+01,6.078441899999999620e+00
3.233838449575686695e+02,5.095104972788782050e+01,4.358834041664283632e+01,2.086065514220843653e+01,1.788011300000000148e+01
9.156236683308104318e+01,1.174879930292922410e+02,2.962560548260643500e+01,3.588919433823791394e+01,1.128212300000000035e+01
5.645203516856674923e+02,5.025048004768300416e+02,2.996166735603576114e+01,6.232219705691734113e+00,5.595260299999999631e+00
5.241388103351690688e+02,2.154476859789784271e+02,1.906351507597713635e+01,4.374916125492599406e+01,6.884904099999999971e+00
8.676975204045095325e+01,1.430820301660378107e+02,3.381596981409516900e+01,2.863220784485703874e+01,1.039238699999999938e+01
5.498802541065963396e+02,2.651737446048867355e+02,1.515832298314161974e+01,3.826781616160211286e+01,6.484042399999999873e+00
1.235199842892468780e+02,1.089359129890212614e+02,2.748472050603244199e+01,1.767277933954281721e+01,1.284973199999999949e+01
5.545635001196005760e+02,9.052368140030277743e+01,4.378234131224472492e+01,3.380090085905248287e+01,1.448110800000000076e+01
7.153866324878418936e+01,5.968674303648126056e+01,4.865848165109561307e+01,1.052057677543731806e+01,1.884173300000000140e+01
5.610973379032832042e+01,1.616635834425632368e+02,3.600522072052533673e+01,2.779208502188836505e+01,1.038411900000000010e+01
4.022560870893802871e+02,5.522242177467488773e+02,2.110886118925682453e+01,1.244769663055037690e+01,5.727405100000000360e+00
4.861133666717584561e+02,1.362316209617517870e+02,3.755625198234757534e+01,8.521237211940263734e+00,1.011141800000000046e+01
1.246257506555916592e+02,4.805817709881382882e+01,3.997942781739898521e+01,9.823890375482756454e+00,1.880470599999999948e+01
7.995877987070703341e+01,1.365664952106523629e+02,2.117838214594496549e+01,2.657264821145668865e+00,1.159568100000000079e+01
1.532267411782946454e+02,3.865651997151786077e+02,4.039676322482965531e+01,1.207470629906422488e+01,7.332703600000000321e+00
3.544713187902796676e+02,5.236001754713824994e+02,3.166442513120054514e+01,1.932330938923360364e+01,6.223943199999999898e+00
1.743195219303844112e+01,4.769058620155039989e+02,4.266246110854311979e+01,4.906285770054769735e+00,1.403813500000000047e+01
1.066531925922437978e+02,4.818779051404229676e+02,3.256641115447244772e+01,1.813932846645054298e+01,7.375300000000000189e+00
9.163666808762778260e+01,6.546623974128601731e+01,3.240725673264322637e+01,3.579322861309012183e+01,1.817814299999999861e+01
5.453403913685198177e+02,4.311528999870435541e+02,2.488984049696472312e+01,3.816538797431198304e+01,6.451010899999999992e+00
5.001438751633577340e+01,3.600989427194008385e+02,3.882856122492579232e+01,3.048622336940248978e+00,8.555853000000000819e+00
2.325211436824250768e+02,1.008337576052729219e+02,2.104332339910634175e+01,1.209866284234408518e+01,1.236725799999999964e+01
1.815370527617611742e+02,8.669939357165856109e+01,3.777000230394207847e+01,3.590443897192713507e+00,1.595669799999999938e+01
3.373497633579297599e+02,1.111869364199554724e+02,3.026765402236474145e+01,1.479442300655291476e+01,1.134317700000000073e+01
2.183532821165518101e+02,2.940497780048520440e+02,1.489324845164709288e+01,7.402545752932099710e+00,6.994013500000000327e+00
4.854052264025861518e+02,2.308077818191630115e+02,1.678249914635532392e+01,4.025777435260454240e+01,6.760494200000000120e+00
5.224024187246520796e+02,4.770521195997195036e+02,3.856203704134226484e+01,5.869015045430293398e+00,5.821488900000000299e+00
5.241886003871320554e+02,3.354023718913264815e+02,4.601101807002233102e+01,2.861493842158384382e+01,6.499729300000000265e+00
1.554298317022463749e+01,5.697567612544813755e+02,1.529591345528285018e+01,3.493917662932455670e+01,3.221876900000000177e+01
1.982042860902906227e+02,1.114547155340038103e+02,1.562390660687018240e+01,3.379312312133291840e+01,1.043919099999999922e+01
1.810699556038744333e+02,3.554875025846875474e+02,4.742397541127667893e+01,1.094233975152637051e+01,7.479501299999999908e+00
7.734051228570334047e+01,2.308033432199749200e+02,3.778156906569397222e+01,4.730338462356694862e+01,9.087426600000000576e+00
1.019843443498157143e+02,2.682555911237068358e+02,2.115454205225643136e+01,1.102540362579314603e+01,7.933498199999999834e+00
1.835931848902995114e+02,4.579281881416299598e+02,1.371384127626530613e+01,4.358193972896127377e+01,7.747052899999999909e+00
4.793817595518218013e+02,3.938497704566864854e+02,2.183257029974923569e+01,9.139870036207227599e+00,5.989125200000000149e+00
